Date,Month,Day,Calories_Burned,Steps,Minutes_Sedentary,Minutes_Lightly_Active,Minutes_Fairly_Active,Minutes_Very_Active,Activity_Calories,Minutes_Asleep,Minutes_Awake,Number_Awakenings,Time_In_Bed,Minutes_REM_Sleep,Minutes_Light_Sleep,Minutes_Deep_Sleep
8/6/2019,Aug,Tue,"2,559","8,573",786,176,16,25,988,376,97,32,473,49,258,69
8/7/2019,Aug,Wed,"2,623","9,095",740,168,23,36,"1,094",384,104,34,488,58,281,45
8/8/2019,Aug,Thu,"2,555","8,247",743,172,11,26,968,354,84,45,438,30,271,53
8/9/2019,Aug,Fri,"2,687","11,116",745,198,18,41,"1,215",398,65,34,463,74,274,50
8/10/2019,Aug,Sat,"3,037","14,164",547,247,25,50,"1,653",102,6,1,108,N/A,N/A,N/A
8/11/2019,Aug,Sun,"2,899","11,684",780,278,20,36,"1,490",275,51,30,326,48,186,41
8/12/2019,Aug,Mon,"2,591","9,059",789,178,17,24,"1,003",348,84,37,432,32,249,67
8/13/2019,Aug,Tue,"2,789","10,344",741,164,17,46,"1,238",381,91,27,472,43,276,62
8/14/2019,Aug,Wed,"2,506","8,424",788,209,5,19,"1,002",353,66,35,419,43,258,52
8/15/2019,Aug,Thu,"2,865","10,595",733,196,6,40,"1,327",389,76,43,465,69,247,73
8/16/2019,Aug,Fri,"2,752","10,907",771,178,10,13,903,358,110,40,468,29,257,72
8/17/2019,Aug,Sat,"2,642","9,281","1,401",39,0,0,131,345,72,31,417,55,242,48
8/18/2019,Aug,Sun,"2,758","10,787",738,210,30,45,"1,289",375,80,39,455,25,290,60
8/19/2019,Aug,Mon,"2,862","12,547",731,185,19,50,"1,380",362,114,32,476,19,284,59
8/20/2019,Aug,Tue,"2,665","10,361",678,237,17,32,"1,225",379,78,41,457,61,230,88
8/21/2019,Aug,Wed,"2,515","8,689",764,199,6,14,975,338,82,35,420,20,253,65
8/22/2019,Aug,Thu,"2,569","8,163",762,248,5,5,"1,068",271,61,26,332,53,185,33
8/23/2019,Aug,Fri,"2,659","10,226",820,264,13,11,"1,231",462,121,42,583,116,259,87
8/24/2019,Aug,Sat,"2,744","10,771",623,178,7,49,"1,259",421,81,48,502,70,271,80
8/25/2019,Aug,Sun,"2,980","11,183",631,241,23,43,"1,501",381,81,45,462,39,267,75
8/26/2019,Aug,Mon,"2,734","10,515",712,245,8,13,"1,210",302,81,19,383,37,203,62
8/27/2019,Aug,Tue,"2,850","11,878",786,212,15,44,"1,390",394,93,31,487,44,252,98
8/28/2019,Aug,Wed,"2,604","9,762",704,236,1,12,"1,082",342,78,29,420,57,220,65
8/29/2019,Aug,Thu,"2,747","11,075",775,205,4,36,"1,244",343,63,26,406,40,245,58
8/30/2019,Aug,Fri,"2,566","9,276",781,201,23,29,"1,111",325,100,29,425,11,257,57
8/31/2019,Aug,Sat,"2,775","11,602",747,215,24,29,"1,302",382,76,33,458,51,271,60
9/1/2019,Sep,Sun,"3,074","12,457",653,238,41,50,"1,665",397,111,40,508,35,295,67
9/2/2019,Sep,Mon,"2,802","13,128",655,185,40,52,"1,359",403,84,37,487,79,254,70
9/3/2019,Sep,Tue,"2,563","8,166",676,277,0,0,"1,089",382,93,35,475,21,299,62
9/4/2019,Sep,Wed,"2,748","10,816",682,245,9,29,"1,271",334,83,37,417,32,234,68
9/5/2019,Sep,Thu,"2,817","12,392",775,180,14,54,"1,326",388,99,34,487,48,226,114
9/6/2019,Sep,Fri,"2,571","9,006",705,217,9,22,"1,061",371,91,42,462,79,223,69
9/7/2019,Sep,Sat,"3,313","19,234",635,192,42,109,"1,965",437,75,44,512,112,254,71
9/8/2019,Sep,Sun,"2,597","8,036",626,285,4,13,"1,174",376,82,42,458,87,239,50
9/9/2019,Sep,Mon,"2,660","10,171",725,226,11,20,"1,139",340,67,34,407,34,256,50
9/10/2019,Sep,Tue,"2,718","12,086",787,195,17,34,"1,249",386,95,43,481,43,297,46
9/11/2019,Sep,Wed,"2,483","8,600",739,197,13,10,960,312,79,24,391,75,175,62
9/12/2019,Sep,Thu,"2,481","8,276",818,209,15,7,964,385,113,34,498,88,241,56
9/13/2019,Sep,Fri,"2,707","10,854",671,233,10,28,"1,249",413,104,49,517,81,252,80
9/14/2019,Sep,Sat,"2,709","12,559",663,184,26,50,"1,288",400,76,46,476,43,295,62
9/15/2019,Sep,Sun,"2,633","10,094",618,221,16,30,"1,200",285,63,28,348,36,220,29
9/16/2019,Sep,Mon,"2,640","10,180",822,251,10,9,"1,174",331,88,36,419,7,254,70
9/17/2019,Sep,Tue,"2,685","11,069",774,212,3,32,"1,209",356,80,36,436,62,221,73
9/18/2019,Sep,Wed,"2,655","9,781",732,251,4,17,"1,187",324,90,25,414,38,221,65
9/19/2019,Sep,Thu,"2,696","9,768",781,216,9,20,"1,166",356,76,31,432,63,215,78
9/20/2019,Sep,Fri,"2,533","8,347",753,222,12,21,"1,073",388,90,37,478,27,284,77
9/21/2019,Sep,Sat,"2,975","14,659",630,237,43,52,"1,603",359,86,32,445,29,271,59
9/22/2019,Sep,Sun,"2,829","11,026",750,167,24,54,"1,312",398,80,33,478,82,265,51
9/23/2019,Sep,Mon,"2,747","9,677",688,239,4,31,"1,267",331,94,27,425,59,173,99
9/24/2019,Sep,Tue,"2,424","8,502",818,153,19,25,907,NA,NA,NA,NA,NA,NA,NA
9/25/2019,Sep,Wed,"2,466","8,428","1,233",193,9,5,932,306,74,28,380,44,211,51
9/26/2019,Sep,Thu,"2,471","8,275",852,189,4,15,931,435,79,49,514,64,289,82
9/27/2019,Sep,Fri,"2,717","9,953",712,140,16,58,"1,156",405,80,39,485,98,214,93
9/28/2019,Sep,Sat,"2,574","8,445",731,156,19,49,"1,059",358,85,39,443,95,185,78
9/29/2019,Sep,Sun,"2,626","8,760",739,225,8,25,"1,127",374,77,32,451,34,281,59
