Date,Month,Day,Calories_Burned,Steps,Minutes_Sedentary,Minutes_Lightly_Active,Minutes_Fairly_Active,Minutes_Very_Active,Activity_Calories,Minutes_Asleep,Minutes_Awake,Number_Awakenings,Time_In_Bed,Minutes_REM_Sleep,Minutes_Light_Sleep,Minutes_Deep_Sleep
2/24/2020,Feb,Mon,"2,885","11,304","1,177",205,24,34,"1,299",NA,NA,NA,NA,NA,NA,NA
2/25/2020,Feb,Tue,"2,569","8,637","1,236",166,11,27,948,NA,NA,NA,NA,NA,NA,NA
2/26/2020,Feb,Wed,"2,679","10,300","1,193",212,5,30,"1,153",NA,NA,NA,NA,NA,NA,NA
2/27/2020,Feb,Thu,"2,578","9,350","1,236",163,6,35,"1,013",NA,NA,NA,NA,NA,NA,NA
2/28/2020,Feb,Fri,"2,816","12,849","1,175",200,10,55,"1,322",324,74,30,398,69,199,56
2/29/2020,Feb,Sat,"2,699","9,641","1,158",218,33,31,"1,260",344,74,30,418,61,212,71
3/1/2020,Mar,Sun,"2,877","11,437",795,155,26,66,"1,397",324,54,22,378,87,193,44
3/2/2020,Mar,Mon,"2,772","9,592",775,215,16,16,"1,181",345,77,29,422,49,266,30
3/3/2020,Mar,Tue,"2,667","9,560",881,119,13,49,"1,041",248,56,26,304,66,135,47
3/4/2020,Mar,Wed,"2,684","9,689",798,192,3,25,"1,067",306,50,19,356,41,234,31
3/5/2020,Mar,Thu,"2,760","9,844",922,166,15,33,"1,166",338,75,31,413,57,220,61
3/6/2020,Mar,Fri,"2,614","8,831",859,186,7,32,"1,036",389,83,39,472,78,265,46
3/7/2020,Mar,Sat,"2,733","9,933",792,167,22,46,"1,189",278,54,21,332,56,186,36
3/8/2020,Mar,Sun,"2,822","10,906",727,147,36,58,"1,290",NA,NA,NA,NA,NA,NA,NA
3/9/2020,Mar,Mon,"2,590","9,473",889,192,5,22,"1,036",NA,NA,NA,NA,NA,NA,NA
3/10/2020,Mar,Tue,"2,651","10,075","1,255",117,9,59,"1,069",NA,NA,NA,NA,NA,NA,NA
3/11/2020,Mar,Wed,"2,483","9,222","1,228",142,18,52,985,NA,NA,NA,NA,NA,NA,NA
3/12/2020,Mar,Thu,"2,793","10,354","1,174",220,13,33,"1,279",NA,NA,NA,NA,NA,NA,NA
3/13/2020,Mar,Fri,"2,663","10,534","1,193",211,3,33,"1,152",NA,NA,NA,NA,NA,NA,NA
3/14/2020,Mar,Sat,"2,440","8,235","1,235",145,19,41,922,382,75,39,457,74,236,72
3/15/2020,Mar,Sun,"2,693","9,465",763,149,23,48,"1,127",292,58,23,350,58,191,43
3/16/2020,Mar,Mon,"2,517","7,254",870,185,12,23,963,355,71,29,426,28,282,45
3/17/2020,Mar,Tue,"2,265","2,847",865,135,12,2,561,336,60,19,396,55,237,44
3/18/2020,Mar,Wed,"2,086","2,278",835,145,0,0,483,402,55,33,457,105,239,58
3/19/2020,Mar,Thu,"2,337","5,190",776,197,6,4,806,423,98,39,521,57,295,71
3/20/2020,Mar,Fri,"2,301","5,680",726,176,4,13,770,355,76,31,431,61,249,45
3/21/2020,Mar,Sat,"2,132","3,974","1,316",124,0,0,540,NA,NA,NA,NA,NA,NA,NA
3/22/2020,Mar,Sun,"2,720","8,614",760,170,34,45,"1,216",454,72,35,526,111,273,70
3/23/2020,Mar,Mon,"2,384","4,985",729,160,12,13,772,311,94,23,405,48,213,50
3/24/2020,Mar,Tue,"2,455","5,660",831,179,7,18,868,365,98,34,463,83,208,74
3/25/2020,Mar,Wed,"2,138","3,141",845,117,6,9,498,306,56,31,362,54,197,55
3/26/2020,Mar,Thu,"2,335","4,023",904,152,16,6,739,416,95,38,511,96,273,47
3/27/2020,Mar,Fri,"2,175","3,188",785,132,4,8,535,376,73,35,449,120,146,110
3/28/2020,Mar,Sat,"2,760","8,413",660,320,7,4,"1,364",333,93,39,426,58,228,47
3/29/2020,Mar,Sun,"2,294","5,334",825,173,9,7,745,350,85,33,435,61,227,62
3/30/2020,Mar,Mon,"2,328","5,280",846,130,7,22,739,367,96,39,463,40,294,33
3/31/2020,Mar,Tue,"2,401","6,119",794,148,13,22,811,401,88,36,489,78,255,68
4/1/2020,Apr,Wed,"2,527","6,904",746,171,12,22,956,342,92,32,434,66,206,70
4/2/2020,Apr,Thu,"2,353","6,140",818,169,9,10,787,374,78,37,452,40,284,50
4/3/2020,Apr,Fri,"2,735","8,760",738,185,28,37,"1,209",476,92,51,568,103,292,81
4/4/2020,Apr,Sat,"2,130","3,025",742,111,7,12,500,339,72,30,411,25,262,52
4/5/2020,Apr,Sun,"2,505","6,376",807,192,9,21,954,419,92,39,511,48,297,74
4/6/2020,Apr,Mon,"2,270","3,896",770,145,6,8,628,421,111,41,532,94,258,69
4/7/2020,Apr,Tue,"2,475","6,080",708,163,20,17,896,421,101,42,522,87,249,85
4/8/2020,Apr,Wed,"2,418","5,483",736,162,7,13,799,384,90,32,474,114,193,77
4/9/2020,Apr,Thu,"2,242","3,131",829,126,4,7,563,364,75,36,439,58,232,74
4/10/2020,Apr,Fri,"2,087","3,087",908,77,4,12,398,465,90,50,555,69,328,68
4/11/2020,Apr,Sat,"2,509","5,798",657,189,18,21,943,379,95,32,474,118,185,76
4/12/2020,Apr,Sun,"2,307","4,841",805,139,6,16,685,329,79,25,408,85,195,49
4/13/2020,Apr,Mon,"2,695","5,537",786,200,32,14,"1,099",342,87,29,429,52,246,44
4/14/2020,Apr,Tue,"2,666","6,881",790,159,22,40,"1,059",424,91,38,515,93,262,69
4/15/2020,Apr,Wed,"2,169","3,220",713,152,0,0,545,373,74,39,447,69,241,63
4/16/2020,Apr,Thu,"2,520","6,878",772,190,13,18,943,334,58,23,392,64,197,73
4/17/2020,Apr,Fri,"2,482","5,190",838,210,0,0,799,351,65,32,416,55,211,85
4/18/2020,Apr,Sat,"2,066","2,408",889,135,0,0,462,419,86,47,505,102,238,79
4/19/2020,Apr,Sun,"2,501","4,734",709,205,12,9,954,382,72,43,454,99,205,78
4/20/2020,Apr,Mon,"2,311","5,111",806,166,4,10,728,386,58,44,444,87,239,60
4/21/2020,Apr,Tue,"2,482","5,687",793,176,5,22,885,381,62,37,443,84,232,65
4/22/2020,Apr,Wed,"2,204","3,160",859,122,11,5,539,400,83,42,483,57,271,72
4/23/2020,Apr,Thu,"2,096","1,928",828,129,0,0,425,325,59,27,384,74,201,50
4/24/2020,Apr,Fri,"2,160","3,346",917,129,5,5,529,350,88,31,438,65,209,76
4/25/2020,Apr,Sat,"2,205","2,854",858,133,9,2,562,378,62,42,440,82,230,66
4/26/2020,Apr,Sun,"2,120","3,474",890,95,6,9,469,378,77,28,455,71,293,14
4/27/2020,Apr,Mon,"2,424","5,146",817,132,31,5,732,346,66,33,412,87,184,75
4/28/2020,Apr,Tue,"2,363","4,751",862,140,10,16,714,372,73,39,445,72,232,68
4/29/2020,Apr,Wed,"2,240","4,260",861,123,9,2,563,314,54,29,368,37,217,60
4/30/2020,Apr,Thu,"2,346","4,111",904,156,12,0,671,331,59,28,390,68,185,78
5/1/2020,May,Fri,"2,279","4,249",893,141,15,1,629,496,108,57,604,120,295,81
5/2/2020,May,Sat,"2,046","2,168",733,103,0,0,384,412,88,33,500,98,233,81
5/3/2020,May,Sun,"2,489","6,392",758,120,27,35,860,352,96,27,448,48,231,73
5/4/2020,May,Mon,"2,294","4,141",841,130,12,9,611,NA,NA,NA,NA,NA,NA,NA
5/5/2020,May,Tue,"2,561","6,408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/6/2020,May,Wed,"2,618","6,956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/7/2020,May,Thu,"2,292","5,261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2020,May,Fri,"2,136","2,951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2020,May,Sat,"2,387","5,616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2020,May,Sun,"2,493","6,523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/11/2020,May,Mon,"2,289","3,030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/12/2020,May,Tue,"2,537","6,172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/13/2020,May,Wed,"2,418","4,688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/14/2020,May,Thu,"2,387","6,479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/15/2020,May,Fri,"2,385","4,565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/16/2020,May,Sat,"2,592","9,752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/17/2020,May,Sun,"2,635","9,845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/18/2020,May,Mon,"2,468","6,023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/19/2020,May,Tue,"2,495","8,355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2020,May,Wed,"2,223","5,303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/21/2020,May,Thu,"2,496","6,845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/22/2020,May,Fri,"2,374","6,445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/23/2020,May,Sat,"2,640","8,902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/24/2020,May,Sun,"2,154","2,866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/25/2020,May,Mon,"2,570","8,750",879,110,37,28,836,326,60,28,386,72,211,43
5/26/2020,May,Tue,"2,473","7,203",867,143,10,36,965,316,68,28,384,27,232,57
5/27/2020,May,Wed,"2,610","7,722",816,101,16,15,567,406,86,39,492,81,227,98
5/28/2020,May,Thu,"2,225","4,399",802,171,23,16,882,364,64,34,428,94,198,72
5/29/2020,May,Fri,"2,435","6,873",808,136,7,44,977,360,85,36,445,91,215,54
5/30/2020,May,Sat,"2,551","8,494",835,91,14,19,579,397,84,41,481,77,254,66
5/31/2020,May,Sun,"2,232","5,510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/1/2020,Jun,Mon,"2,659","8,226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/2/2020,Jun,Tue,"2,755","9,186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/3/2020,Jun,Wed,"2,449","7,171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/4/2020,Jun,Thu,"2,467","7,247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/5/2020,Jun,Fri,"2,579","8,576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/6/2020,Jun,Sat,"2,537","9,956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/7/2020,Jun,Sun,"2,652","8,464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/8/2020,Jun,Mon,"2,719","12,039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2020,Jun,Tue,"2,848","12,401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/10/2020,Jun,Wed,"2,624","9,832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/11/2020,Jun,Thu,"2,510","8,347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/12/2020,Jun,Fri,"2,599","11,231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/13/2020,Jun,Sat,"2,822","12,365","1,148",208,28,56,"1,397",NA,NA,NA,NA,NA,NA,NA
6/14/2020,Jun,Sun,"2,604","9,298","1,222",140,25,53,"1,058",NA,NA,NA,NA,NA,NA,NA
6/15/2020,Jun,Mon,"2,626","9,860","1,253",118,20,49,"1,032",NA,NA,NA,NA,NA,NA,NA
6/16/2020,Jun,Tue,"2,410","7,950","1,250",136,27,27,873,NA,NA,NA,NA,NA,NA,NA
6/17/2020,Jun,Wed,"2,567","8,792","1,248",131,20,41,998,NA,NA,NA,NA,NA,NA,NA
6/18/2020,Jun,Thu,"2,416","7,610","1,246",155,17,22,872,NA,NA,NA,NA,NA,NA,NA
6/19/2020,Jun,Fri,"2,779","12,332","1,179",161,34,66,"1,332",NA,NA,NA,NA,NA,NA,NA
6/20/2020,Jun,Sat,"2,372","7,733","1,266",127,9,38,822,NA,NA,NA,NA,NA,NA,NA
6/21/2020,Jun,Sun,"2,540","9,379","1,231",170,2,37,"1,033",386,94,26,480,98,242,46
6/22/2020,Jun,Mon,"2,468","8,245",753,148,29,30,942,344,75,31,419,52,222,70
6/23/2020,Jun,Tue,"2,341","7,071",854,116,19,32,772,382,77,43,459,72,254,56
6/24/2020,Jun,Wed,"2,770","11,330",735,160,25,61,"1,275",352,66,32,418,61,258,33
6/25/2020,Jun,Thu,"2,513","8,441",758,157,20,29,949,357,61,34,418,61,215,81
6/26/2020,Jun,Fri,"2,389","6,639",822,183,3,14,853,320,85,42,405,61,183,76
6/27/2020,Jun,Sat,"2,095","3,543",906,118,4,7,510,NA,NA,NA,NA,NA,NA,NA
6/28/2020,Jun,Sun,"2,539","8,625",783,248,3,7,"1,096",333,66,24,399,45,240,48
6/29/2020,Jun,Mon,"2,623","7,499",757,130,32,33,910,336,71,27,407,83,172,81
6/30/2020,Jun,Tue,"2,507","7,679",870,133,31,39,999,333,104,31,437,30,247,56
7/1/2020,Jul,Wed,"2,536","9,691",788,156,13,46,"1,168",280,87,20,367,25,210,45
7/2/2020,Jul,Thu,"2,706","10,274",825,165,14,29,947,331,76,25,407,89,170,72
7/3/2020,Jul,Fri,"2,500","7,943",791,155,18,30,905,334,79,32,413,55,211,68
7/4/2020,Jul,Sat,"2,512","6,888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
